"movie","break_even","earnings_ratio","budget_raw","worldwide_gross","production_budget","even"
"Good Luck Chuck",1,2.37,25000000,"$59,183,821","$25,000,000","Made money"
"Cradle 2 the Grave",1,2.26,25000000,"$56,434,942","$25,000,000","Made money"
"She's the Man",1,2.21,25000000,"$55,279,608","$25,000,000","Made money"
"Mr. Bean's Holiday",1,9.4,25000000,"$234,981,342","$25,000,000","Made money"
"Bride of Chucky",1,2.03,25000000,"$50,692,188","$25,000,000","Made money"
"August Rush",1,2.64,25000000,"$66,015,869","$25,000,000","Made money"
"Anacondas: The Hunt for the Blood Orchid",1,2.81,25000000,"$70,326,393","$25,000,000","Made money"
"Elizabeth",1,3.29,25000000,"$82,150,642","$25,000,000","Made money"
"Tora, Tora, Tora",1,1.18,25000000,"$29,548,291","$25,000,000","Made money"
"Spiceworld",1,2.24,25000000,"$56,042,592","$25,000,000","Made money"
"The Shawshank Redemption",1,1.13,25000000,"$28,241,469","$25,000,000","Made money"
"Dance Flick",1,1.28,25000000,"$32,092,761","$25,000,000","Made money"
"Crocodile Dundee in Los Angeles",1,1.58,25000000,"$39,393,111","$25,000,000","Made money"
"Kingpin",1,1.29,25000000,"$32,223,424","$25,000,000","Made money"
"Ice Princess",1,1.03,25000000,"$25,732,334","$25,000,000","Made money"
"Don't Be Afraid of the Dark",1,1.26,25000000,"$31,551,048","$25,000,000","Made money"
"The Losers",1,1.07,25000000,"$26,714,018","$25,000,000","Made money"
"War",1,1.63,25000000,"$40,686,409","$25,000,000","Made money"
"Don Juan DeMarco",0,0.88,25000000,"$22,032,635","$25,000,000","Lost money"
"A Lot Like Love",1,1.91,25000000,"$47,835,784","$25,000,000","Made money"
"He Got Game",0,0.9,25000000,"$22,411,948","$25,000,000","Lost money"
"Shark Night 3D",1,1.29,25000000,"$32,209,741","$25,000,000","Made money"
"Punch-Drunk Love",0,0.98,25000000,"$24,591,031","$25,000,000","Lost money"
"Eurotrip",0,0.83,25000000,"$20,718,223","$25,000,000","Lost money"
"The Ruins",0,0.89,25000000,"$22,177,122","$25,000,000","Lost money"
"The Counselor",1,2.81,25000000,"$70,373,715","$25,000,000","Made money"
"Unaccompanied Minors",0,0.88,25000000,"$21,970,831","$25,000,000","Lost money"
"Bright Lights, Big City",0,0.64,25000000,"$16,118,077","$25,000,000","Lost money"
"Half Past Dead",0,0.77,25000000,"$19,233,280","$25,000,000","Lost money"
"Legend",0,0.62,25000000,"$15,502,112","$25,000,000","Lost money"
"The Adventures of Pinocchio",1,1.47,25000000,"$36,682,170","$25,000,000","Made money"
"The Greatest Game Ever Played",0,0.62,25000000,"$15,425,073","$25,000,000","Lost money"
"The Box",1,1.05,25000000,"$26,341,896","$25,000,000","Made money"
"The Next Best Thing",0,0.97,25000000,"$24,355,762","$25,000,000","Lost money"
"My Soul to Take",0,0.67,25000000,"$16,727,470","$25,000,000","Lost money"
"The Girl Next Door",0,0.74,25000000,"$18,589,444","$25,000,000","Lost money"
"Fly Me To the Moon",1,2.3,25000000,"$57,546,746","$25,000,000","Made money"
"Maximum Risk",1,2.07,25000000,"$51,702,929","$25,000,000","Made money"
"Stealing Harvard",0,0.56,25000000,"$13,973,532","$25,000,000","Lost money"
"Hot Rod",0,0.57,25000000,"$14,334,401","$25,000,000","Lost money"
"Warrior",0,0.97,25000000,"$24,215,385","$25,000,000","Lost money"
"Angela's Ashes",0,0.52,25000000,"$13,038,660","$25,000,000","Lost money"
"Cirque du Soleil: Worlds Away",1,1.12,25000000,"$28,012,862","$25,000,000","Made money"
"Lifeforce",0,0.46,25000000,"$11,603,545","$25,000,000","Lost money"
"The Conspirator",0,0.64,25000000,"$15,907,411","$25,000,000","Lost money"
"The Powerpuff Girls",0,0.66,25000000,"$16,425,701","$25,000,000","Lost money"
"The Lords of Dogtown",0,0.54,25000000,"$13,424,365","$25,000,000","Lost money"
"Michael Collins",1,1.1,25000000,"$27,572,844","$25,000,000","Made money"
"Stop-Loss",0,0.45,25000000,"$11,179,472","$25,000,000","Lost money"
"Gettysburg",0,0.43,25000000,"$10,731,997","$25,000,000","Lost money"
"Abandon",0,0.49,25000000,"$12,219,367","$25,000,000","Lost money"
"Straw Dogs",0,0.45,25000000,"$11,253,821","$25,000,000","Lost money"
"Brokedown Palace",0,0.44,25000000,"$11,115,766","$25,000,000","Lost money"
"Possession",0,0.59,25000000,"$14,805,812","$25,000,000","Lost money"
"Mrs. Winterbourne",0,0.4,25000000,"$10,039,566","$25,000,000","Lost money"
"Stone Cold",0,0.37,25000000,"$9,286,314","$25,000,000","Lost money"
"The Road",1,1.1,25000000,"$27,614,270","$25,000,000","Made money"
"The Hoax",0,0.29,25000000,"$7,164,995","$25,000,000","Lost money"
"Sheena",0,0.23,25000000,"$5,778,353","$25,000,000","Lost money"
"Underclassman",0,0.23,25000000,"$5,654,777","$25,000,000","Lost money"
"Say It Isn't So",0,0.22,25000000,"$5,516,708","$25,000,000","Lost money"
"The World's Fastest Indian",0,0.66,25000000,"$16,509,706","$25,000,000","Lost money"
"Tank Girl",0,0.16,25000000,"$4,064,333","$25,000,000","Lost money"
"King's Ransom",0,0.16,25000000,"$4,049,527","$25,000,000","Lost money"
"Blindness",0,0.8,25000000,"$20,052,958","$25,000,000","Lost money"
"BloodRayne",0,0.14,25000000,"$3,605,420","$25,000,000","Lost money"
"Bad Lieutenant: Port of Call New Orleans",0,0.33,25000000,"$8,162,545","$25,000,000","Lost money"
"Me and Orson Welles",0,0.05,25000000,"$1,190,003","$25,000,000","Lost money"
"Venom",0,0.04,25000000,"$881,745","$25,000,000","Lost money"
"Where the Truth Lies",0,0.06,25000000,"$1,415,656","$25,000,000","Lost money"
"Without Limits",0,0.03,25000000,"$780,326","$25,000,000","Lost money"
"On the Road",0,0.37,25000000,"$9,264,551","$25,000,000","Lost money"
"Love Ranch",0,0.01,25000000,"$137,885","$25,000,000","Lost money"
"Star Trek IV: The Voyage Home",1,5.54,24000000,"$133,000,000","$24,000,000","Made money"
"Scream 2",1,4.22,24000000,"$101,363,301","$24,000,000","Made money"
"Old School",1,3.6,24000000,"$86,325,829","$24,000,000","Made money"
"Rocky Balboa",1,6.51,24000000,"$156,229,050","$24,000,000","Made money"
"The Whole Nine Yards",1,3.56,24000000,"$85,527,867","$24,000,000","Made money"
"Footloose",1,2.64,24000000,"$63,412,773","$24,000,000","Made money"
"I Still Know What You Did Last Summer",1,1.67,24000000,"$40,020,622","$24,000,000","Made money"
"Return to Me",1,1.36,24000000,"$32,662,299","$24,000,000","Made money"
"The Men Who Stare at Goats",1,2.81,24000000,"$67,348,218","$24,000,000","Made money"
"Zack and Miri Make a Porno",1,1.54,24000000,"$36,856,306","$24,000,000","Made money"
"Double Take",1,1.24,24000000,"$29,823,162","$24,000,000","Made money"
"Girl, Interrupted",1,1.2,24000000,"$28,871,190","$24,000,000","Made money"
"Nurse Betty",1,1.16,24000000,"$27,732,366","$24,000,000","Made money"
"Piranha 3D",1,3.47,24000000,"$83,314,723","$24,000,000","Made money"
"Win a Date with Tad Hamilton!",0,0.71,24000000,"$16,980,098","$24,000,000","Lost money"
"Muppets From Space",0,0.68,24000000,"$16,304,786","$24,000,000","Lost money"
"The Wiz",0,0.54,24000000,"$13,000,000","$24,000,000","Lost money"
"Ready to Rumble",0,0.52,24000000,"$12,372,410","$24,000,000","Lost money"
"I Don't Know How She Does It",1,1.02,24000000,"$24,474,463","$24,000,000","Made money"
"Play it to the Bone",0,0.35,24000000,"$8,427,204","$24,000,000","Lost money"
"Beyond the Sea",0,0.29,24000000,"$7,061,637","$24,000,000","Lost money"
"Meet the Deedles",0,0.18,24000000,"$4,356,126","$24,000,000","Lost money"
"The Princess and the Cobbler",0,0.03,24000000,"$669,276","$24,000,000","Lost money"
"The Bridge of San Luis Rey",0,0.07,24000000,"$1,696,765","$24,000,000","Lost money"
"Zombieland",1,4.33,23600000,"$102,236,596","$23,600,000","Made money"
"Star Wars Ep. V: The Empire Strikes Back",1,23.22,23000000,"$534,171,960","$23,000,000","Made money"
"The Waterboy",1,8.27,23000000,"$190,191,646","$23,000,000","Made money"
"The Naked Gun 2½: The Smell of Fear",1,3.78,23000000,"$86,930,411","$23,000,000","Made money"
"Bad Boys",1,6.14,23000000,"$141,247,413","$23,000,000","Made money"
"Final Destination",1,4.87,23000000,"$112,036,870","$23,000,000","Made money"
"King Kong",1,3.94,23000000,"$90,614,445","$23,000,000","Made money"
"The Ides of March",1,3.38,23000000,"$77,735,925","$23,000,000","Made money"
"Pitch Black",1,2.31,23000000,"$53,182,088","$23,000,000","Made money"
"Someone Like You",1,1.68,23000000,"$38,684,906","$23,000,000","Made money"
"Her",1,1.99,23000000,"$45,871,583","$23,000,000","Made money"
"Joy Ride",0,0.96,23000000,"$21,973,182","$23,000,000","Lost money"
"Haywire",0,0.96,23000000,"$22,176,190","$23,000,000","Lost money"
"Anywhere But Here",0,0.81,23000000,"$18,653,615","$23,000,000","Lost money"
"Vanity Fair",0,0.83,23000000,"$19,123,851","$23,000,000","Lost money"
"Jaws 4: The Revenge",0,0.68,23000000,"$15,728,335","$23,000,000","Lost money"
"The Crew",0,0.57,23000000,"$13,019,253","$23,000,000","Lost money"
"Marvin's Room",0,0.56,23000000,"$12,803,305","$23,000,000","Lost money"
"Chasing Liberty",0,0.53,23000000,"$12,291,975","$23,000,000","Lost money"
"The Longshots",0,0.51,23000000,"$11,742,143","$23,000,000","Lost money"
"The End of the Affair",0,0.46,23000000,"$10,660,147","$23,000,000","Lost money"
"Harley Davidson and the Marlboro Man",0,0.31,23000000,"$7,018,525","$23,000,000","Lost money"
"In the Valley of Elah",1,1.06,23000000,"$24,489,150","$23,000,000","Made money"
"Coco avant Chanel",1,2.21,23000000,"$50,813,834","$23,000,000","Made money"
"Cheri",0,0.12,23000000,"$2,715,657","$23,000,000","Lost money"
"Spaceballs",1,1.68,22700000,"$38,119,483","$22,700,000","Made money"
"1408",1,5.83,22500000,"$131,263,370","$22,500,000","Made money"
"Ghost",1,23.53,22000000,"$517,600,000","$22,000,000","Made money"
"There's Something About Mary",1,16.37,22000000,"$360,099,999","$22,000,000","Made money"
"The Santa Clause",1,8.63,22000000,"$189,800,000","$22,000,000","Made money"
"The Game Plan",1,6.66,22000000,"$146,590,987","$22,000,000","Made money"
"The Rookie",1,3.66,22000000,"$80,491,516","$22,000,000","Made money"
"The Bridges of Madison County",1,7.98,22000000,"$175,516,617","$22,000,000","Made money"
"The Animal",1,2.53,22000000,"$55,762,229","$22,000,000","Made money"
"Gandhi",1,2.4,22000000,"$52,767,889","$22,000,000","Made money"
"Underworld",1,4.35,22000000,"$95,708,457","$22,000,000","Made money"
"The Net",1,5.02,22000000,"$110,521,733","$22,000,000","Made money"
"Diary of a Wimpy Kid: Dog Days",1,3.51,22000000,"$77,229,695","$22,000,000","Made money"
"I Am Sam",1,1.83,22000000,"$40,270,895","$22,000,000","Made money"
"Derailed",1,2.61,22000000,"$57,520,063","$22,000,000","Made money"
"The Informant",1,1.9,22000000,"$41,771,168","$22,000,000","Made money"
"Delivery Man",1,1.66,22000000,"$36,418,006","$22,000,000","Made money"
"Jay and Silent Bob Strike Back",1,1.53,22000000,"$33,762,400","$22,000,000","Made money"
"Shadowlands",1,1.17,22000000,"$25,842,377","$22,000,000","Made money"
"Traitor",1,1.26,22000000,"$27,664,173","$22,000,000","Made money"
"Deuce Bigalow: European Gigolo",1,2.02,22000000,"$44,400,154","$22,000,000","Made money"
"Saving Silverman",1,1.18,22000000,"$25,873,142","$22,000,000","Made money"
"Summer of Sam",0,0.88,22000000,"$19,288,130","$22,000,000","Lost money"
"The Glass House",1,1.04,22000000,"$22,861,785","$22,000,000","Made money"
"The Island",0,0.71,22000000,"$15,716,828","$22,000,000","Lost money"
"Josie and the Pussycats",0,0.65,22000000,"$14,252,830","$22,000,000","Lost money"
"The Little Vampire",0,0.62,22000000,"$13,555,988","$22,000,000","Lost money"
"I Heart Huckabees",0,0.91,22000000,"$20,034,713","$22,000,000","Lost money"
"RoboCop 3",0,0.49,22000000,"$10,696,210","$22,000,000","Lost money"
"Dudley Do-Right",0,0.45,22000000,"$9,818,792","$22,000,000","Lost money"
"Megiddo: Omega Code 2",0,0.27,22000000,"$6,047,691","$22,000,000","Lost money"
"Darling Lili",0,0.23,22000000,"$5,000,000","$22,000,000","Lost money"
"The Libertine",0,0.43,22000000,"$9,448,623","$22,000,000","Lost money"
"Zwartboek",1,1.24,22000000,"$27,238,354","$22,000,000","Made money"
"Stone",0,0.18,22000000,"$4,065,020","$22,000,000","Lost money"
"Joyeux Noël",1,1.05,22000000,"$23,134,075","$22,000,000","Made money"
"Sorcerer",0,0.56,21600000,"$12,000,000","$21,600,000","Lost money"
"Molière",0,0.04,21600000,"$791,154","$21,600,000","Lost money"
"Michael Clayton",1,4.33,21500000,"$92,987,651","$21,500,000","Made money"
"Arlington Road",1,1.14,21500000,"$24,419,219","$21,500,000","Made money"
"My Fellow Americans",1,1.04,21500000,"$22,331,846","$21,500,000","Made money"
"To Rome with Love",1,3.46,21500000,"$74,363,777","$21,500,000","Made money"
"Silver Linings Playbook",1,10.82,21000000,"$227,317,397","$21,000,000","Made money"
"South Park: Bigger, Longer & Uncut",1,2.48,21000000,"$52,037,603","$21,000,000","Made money"
"Firefox",1,2.18,21000000,"$45,785,720","$21,000,000","Made money"
"Death at a Funeral",1,2.33,21000000,"$48,977,233","$21,000,000","Made money"
"Teenage Mutant Ninja Turtles III",1,2.01,21000000,"$42,273,609","$21,000,000","Made money"
"Hardball",1,2.1,21000000,"$44,102,389","$21,000,000","Made money"
"For Colored Girls",1,1.81,21000000,"$38,017,873","$21,000,000","Made money"
"Freedom Writers",1,2.08,21000000,"$43,632,609","$21,000,000","Made money"
"The Transporter",1,2.09,21000000,"$43,928,932","$21,000,000","Made money"
"Never Back Down",1,1.87,21000000,"$39,319,801","$21,000,000","Made money"
"Tinker Tailor Soldier Spy",1,3.88,21000000,"$81,452,811","$21,000,000","Made money"
"The Bachelor",1,1.76,21000000,"$36,882,378","$21,000,000","Made money"
"The Rage: Carrie 2",0,0.85,21000000,"$17,760,244","$21,000,000","Lost money"
"Swing Vote",0,0.84,21000000,"$17,589,867","$21,000,000","Lost money"
"Away We Go",0,0.48,21000000,"$10,108,016","$21,000,000","Lost money"
"Moonlight Mile",0,0.33,21000000,"$6,830,957","$21,000,000","Lost money"
"The Beaver",0,0.24,21000000,"$5,046,038","$21,000,000","Lost money"
"Molly",0,0,21000000,"$17,396","$21,000,000","Lost money"
"eXistenZ",0,0.14,20700000,"$2,840,417","$20,700,000","Lost money"
"The Best Little Whorehouse in Texas",1,3.4,20500000,"$69,701,637","$20,500,000","Made money"
"Raiders of the Lost Ark",1,19.5,20000000,"$389,925,971","$20,000,000","Made money"
"Beauty and the Beast",1,22.57,20000000,"$451,421,625","$20,000,000","Made money"
"Home Alone 2: Lost in New York",1,17.95,20000000,"$358,994,850","$20,000,000","Made money"
"Close Encounters of the Third Kind",1,16.89,20000000,"$337,700,000","$20,000,000","Made money"
"Beverly Hills Cop II",1,13.83,20000000,"$276,665,036","$20,000,000","Made money"
"The Conjuring",1,15.9,20000000,"$318,000,141","$20,000,000","Made money"
"Bringing Down the House",1,8.23,20000000,"$164,675,402","$20,000,000","Made money"
"The Silence of the Lambs",1,13.79,20000000,"$275,726,716","$20,000,000","Made money"
"Wayne's World",1,9.15,20000000,"$183,097,323","$20,000,000","Made money"
"Jackass 3D",1,8.58,20000000,"$171,685,793","$20,000,000","Made money"
"Jaws 2",1,10.45,20000000,"$208,900,376","$20,000,000","Made money"
"Beverly Hills Chihuahua",1,7.71,20000000,"$154,218,168","$20,000,000","Made money"
"Are We There Yet?",1,4.9,20000000,"$97,918,663","$20,000,000","Made money"
"The School of Rock",1,6.56,20000000,"$131,161,177","$20,000,000","Made money"
"Disturbia",1,5.88,20000000,"$117,573,043","$20,000,000","Made money"
"Mortal Kombat",1,6.11,20000000,"$122,133,227","$20,000,000","Made money"
"White Chicks",1,5.57,20000000,"$111,448,997","$20,000,000","Made money"
"Holes",1,3.62,20000000,"$72,383,924","$20,000,000","Made money"
"The Last Song",1,4.63,20000000,"$92,678,948","$20,000,000","Made money"
"Why Did I Get Married Too?",1,3.03,20000000,"$60,631,493","$20,000,000","Made money"
"12 Years a Slave",1,8.92,20000000,"$178,367,870","$20,000,000","Made money"
"Drumline",1,2.82,20000000,"$56,398,162","$20,000,000","Made money"
"Edward Scissorhands",1,2.7,20000000,"$53,976,987","$20,000,000","Made money"
"Popeye",1,2.49,20000000,"$49,823,037","$20,000,000","Made money"
"Date Movie",1,4.23,20000000,"$84,548,426","$20,000,000","Made money"
"Peter Pan: Return to Neverland",1,5.49,20000000,"$109,862,682","$20,000,000","Made money"
"The Jungle Book 2",1,6.79,20000000,"$135,703,599","$20,000,000","Made money"
"Premonition",1,4.07,20000000,"$81,461,343","$20,000,000","Made money"
"Boogeyman",1,3.36,20000000,"$67,192,859","$20,000,000","Made money"
"The Tigger Movie",1,4.81,20000000,"$96,147,688","$20,000,000","Made money"
"Meet the Browns",1,2.1,20000000,"$41,975,388","$20,000,000","Made money"
"Epic Movie",1,4.34,20000000,"$86,858,578","$20,000,000","Made money"
"Lakeview Terrace",1,2.23,20000000,"$44,663,506","$20,000,000","Made money"
"The Grudge 2",1,3.54,20000000,"$70,743,839","$20,000,000","Made money"
"Conan the Barbarian",1,3.96,20000000,"$79,114,085","$20,000,000","Made money"
"How Stella Got Her Groove Back",1,1.88,20000000,"$37,672,944","$20,000,000","Made money"
"Bill & Ted's Bogus Journey",1,1.88,20000000,"$37,537,675","$20,000,000","Made money"
"Man of the Year",1,2.07,20000000,"$41,342,180","$20,000,000","Made money"
"Vampires Suck",1,4.07,20000000,"$81,424,988","$20,000,000","Made money"
"The Black Hole",1,1.79,20000000,"$35,841,901","$20,000,000","Made money"
"Selena",1,1.77,20000000,"$35,450,113","$20,000,000","Made money"
"A Very Harold & Kumar 3D Christmas",1,1.81,20000000,"$36,265,745","$20,000,000","Made money"
"Eternal Sunshine of the Spotless Mind",1,3.65,20000000,"$72,993,444","$20,000,000","Made money"
"Texas Chainsaw 3D",1,1.95,20000000,"$39,093,317","$20,000,000","Made money"
"Babel",1,6.61,20000000,"$132,121,212","$20,000,000","Made money"
"Doubt",1,2.55,20000000,"$50,946,957","$20,000,000","Made money"
"Team America: World Police",1,2.51,20000000,"$50,274,834","$20,000,000","Made money"
"Copycat",1,1.6,20000000,"$32,051,917","$20,000,000","Made money"
"Scary Movie 5",1,3.17,20000000,"$63,461,314","$20,000,000","Made money"
"She's Out of My League",1,2.43,20000000,"$48,680,977","$20,000,000","Made money"
"Milk",1,2.86,20000000,"$57,293,371","$20,000,000","Made money"
"The Debt",1,2.33,20000000,"$46,604,054","$20,000,000","Made money"
"Ghost Ship",1,3.42,20000000,"$68,349,884","$20,000,000","Made money"
"Daybreakers",1,2.57,20000000,"$51,401,577","$20,000,000","Made money"
"The Bank Job",1,3.31,20000000,"$66,143,005","$20,000,000","Made money"
"Wild Things",1,2.78,20000000,"$55,576,699","$20,000,000","Made money"
"The Stepfather",1,1.46,20000000,"$29,227,561","$20,000,000","Made money"
"High Fidelity",1,2.39,20000000,"$47,881,663","$20,000,000","Made money"
"Stick It",1,1.52,20000000,"$30,399,714","$20,000,000","Made money"
"Eye for an Eye",1,1.34,20000000,"$26,792,700","$20,000,000","Made money"
"Street Kings",1,3.27,20000000,"$65,454,793","$20,000,000","Made money"
"The World's End",1,2.35,20000000,"$47,042,924","$20,000,000","Made money"
"From Dusk Till Dawn",1,1.29,20000000,"$25,728,961","$20,000,000","Made money"
"You Again",1,1.64,20000000,"$32,838,945","$20,000,000","Made money"
"Alpha and Omega 3D",1,2.45,20000000,"$48,958,353","$20,000,000","Made money"
"The Covenant",1,1.91,20000000,"$38,164,784","$20,000,000","Made money"
"Stay Alive",1,1.16,20000000,"$23,187,506","$20,000,000","Made money"
"2 For the Money",1,1.52,20000000,"$30,491,379","$20,000,000","Made money"
"Psycho",1,1.86,20000000,"$37,226,218","$20,000,000","Made money"
"Quigley Down Under",1,1.07,20000000,"$21,413,105","$20,000,000","Made money"
"To Die For",1,1.38,20000000,"$27,688,744","$20,000,000","Made money"
"Vampires",1,1.01,20000000,"$20,268,825","$20,000,000","Made money"
"Appaloosa",1,1.39,20000000,"$27,735,474","$20,000,000","Made money"
"Yu-Gi-Oh",1,1.44,20000000,"$28,762,690","$20,000,000","Made money"
"Reign Over Me",1,1,20000000,"$20,081,987","$20,000,000","Made money"
"My Best Friend's Girl",1,1.74,20000000,"$34,787,111","$20,000,000","Made money"
"Georgia Rule",1,1.04,20000000,"$20,819,601","$20,000,000","Made money"
"Under the Rainbow",0,0.94,20000000,"$18,826,490","$20,000,000","Lost money"
"Ladyhawke",0,0.92,20000000,"$18,400,000","$20,000,000","Lost money"
"Into the Wild",1,2.82,20000000,"$56,395,211","$20,000,000","Made money"
"Simon Birch",0,0.92,20000000,"$18,310,591","$20,000,000","Lost money"
"Pooh's Heffalump Movie",1,2.64,20000000,"$52,858,433","$20,000,000","Made money"
"School for Scoundrels",0,0.89,20000000,"$17,807,569","$20,000,000","Lost money"
"Silent Hill: Revelation 3D",1,2.4,20000000,"$47,944,599","$20,000,000","Made money"
"Home for the Holidays",1,1.11,20000000,"$22,119,269","$20,000,000","Made money"
"Fired Up",0,0.93,20000000,"$18,608,570","$20,000,000","Lost money"
"Kung Fu Hustle",1,5.05,20000000,"$101,004,669","$20,000,000","Made money"
"The Country Bears",0,0.85,20000000,"$16,988,996","$20,000,000","Lost money"
"21 Grams",1,2.98,20000000,"$59,667,625","$20,000,000","Made money"
"Armored",1,1.18,20000000,"$23,661,038","$20,000,000","Made money"
"The Kite Runner",1,3.71,20000000,"$74,180,745","$20,000,000","Made money"
"Paparazzi",0,0.83,20000000,"$16,612,072","$20,000,000","Lost money"
"A Guy Thing",0,0.87,20000000,"$17,430,594","$20,000,000","Lost money"
"Loser",0,0.91,20000000,"$18,250,106","$20,000,000","Lost money"
"Twilight",0,0.75,20000000,"$15,055,091","$20,000,000","Lost money"
"Capitalism: A Love Story",0,0.96,20000000,"$19,121,531","$20,000,000","Lost money"
"Disaster Movie",1,1.73,20000000,"$34,690,901","$20,000,000","Made money"
"What's Your Number?",1,1.54,20000000,"$30,711,084","$20,000,000","Made money"
"The Man Who Knew Too Little",0,0.69,20000000,"$13,801,755","$20,000,000","Lost money"
"Crank 2: High Voltage",0,0.68,20000000,"$13,684,249","$20,000,000","Lost money"
"Envy",0,0.73,20000000,"$14,566,246","$20,000,000","Lost money"
"One Night with the King",0,0.67,20000000,"$13,395,961","$20,000,000","Lost money"
"Ghost Town",1,1.33,20000000,"$26,612,350","$20,000,000","Made money"
"The Quiet American",1,1.32,20000000,"$26,348,203","$20,000,000","Made money"
"The Weather Man",0,0.77,20000000,"$15,466,961","$20,000,000","Lost money"
"Undisputed",0,0.62,20000000,"$12,398,628","$20,000,000","Lost money"
"12 Rounds",0,0.91,20000000,"$18,184,083","$20,000,000","Lost money"
"Let Me In",1,1.41,20000000,"$28,270,399","$20,000,000","Made money"
"3 Ninjas Kick Back",0,0.59,20000000,"$11,744,960","$20,000,000","Lost money"
"Be Kind Rewind",1,1.54,20000000,"$30,894,247","$20,000,000","Made money"
"Mrs. Henderson Presents",1,1.39,20000000,"$27,836,366","$20,000,000","Made money"
"Deconstructing Harry",0,0.53,20000000,"$10,686,841","$20,000,000","Lost money"
"Three to Tango",0,0.53,20000000,"$10,570,375","$20,000,000","Lost money"
"We're No Angels",0,0.53,20000000,"$10,555,348","$20,000,000","Lost money"
"Everyone Says I Love You",1,1.73,20000000,"$34,600,000","$20,000,000","Made money"
"Death Sentence",0,0.85,20000000,"$16,907,831","$20,000,000","Lost money"
"Everybody's Fine",0,0.46,20000000,"$9,208,876","$20,000,000","Lost money"
"Super Babies: Baby Geniuses 2",0,0.46,20000000,"$9,109,322","$20,000,000","Lost money"
"Battle of the Year",0,0.84,20000000,"$16,723,377","$20,000,000","Lost money"
"Death at a Funeral",1,2.34,20000000,"$46,790,428","$20,000,000","Made money"
"The Man",0,0.52,20000000,"$10,393,696","$20,000,000","Lost money"
"Code Name: The Cleaner",0,0.41,20000000,"$8,135,024","$20,000,000","Lost money"
"Connie & Carla",0,0.4,20000000,"$8,047,525","$20,000,000","Lost money"
"Doogal",1,10.25,20000000,"$205,025,258","$20,000,000","Made money"
"Proof",0,0.41,20000000,"$8,284,331","$20,000,000","Lost money"
"An American Carol",0,0.35,20000000,"$7,013,191","$20,000,000","Lost money"
"Willard",0,0.34,20000000,"$6,882,696","$20,000,000","Lost money"
"Topsy Turvy",0,0.31,20000000,"$6,201,757","$20,000,000","Lost money"
"Chasing Mavericks",0,0.42,20000000,"$8,300,821","$20,000,000","Lost money"
"A Dangerous Method",0,0.74,20000000,"$14,807,531","$20,000,000","Lost money"
"A Scanner Darkly",0,0.37,20000000,"$7,405,084","$20,000,000","Lost money"
"Bandslam",0,0.65,20000000,"$12,967,829","$20,000,000","Lost money"
"Alone in the Dark",0,0.41,20000000,"$8,178,569","$20,000,000","Lost money"
"Birth",0,0.73,20000000,"$14,603,001","$20,000,000","Lost money"
"Passchendaele",0,0.22,20000000,"$4,453,327","$20,000,000","Lost money"
"I'm Not There",0,0.57,20000000,"$11,498,547","$20,000,000","Lost money"
"The Cold Light of Day",0,0.62,20000000,"$12,425,385","$20,000,000","Lost money"
"The Brothers Bloom",0,0.28,20000000,"$5,531,756","$20,000,000","Lost money"
"Synecdoche, New York",0,0.22,20000000,"$4,383,538","$20,000,000","Lost money"
"Mononoke-hime",1,7.52,20000000,"$150,350,000","$20,000,000","Made money"
"Bon Voyage",0,0.42,20000000,"$8,361,736","$20,000,000","Lost money"
"Can't Stop the Music",0,0.1,20000000,"$2,000,000","$20,000,000","Lost money"
"The Proposition",0,0.27,20000000,"$5,313,608","$20,000,000","Lost money"
"Marci X",0,0.08,20000000,"$1,646,664","$20,000,000","Lost money"
"Equilibrium",0,0.27,20000000,"$5,345,869","$20,000,000","Lost money"
"Dylan Dog: Dead of Night",0,0.3,20000000,"$6,090,697","$20,000,000","Lost money"
"The Oogieloves in the BIG Balloon Adventure",0,0.05,20000000,"$1,065,907","$20,000,000","Lost money"
"The Children of Huang Shi",0,0.28,20000000,"$5,527,507","$20,000,000","Lost money"
"The Yards",0,0.11,20000000,"$2,282,710","$20,000,000","Lost money"
"All Good Things",0,0.03,20000000,"$645,024","$20,000,000","Lost money"
"Steamboy",0,0.52,20000000,"$10,468,867","$20,000,000","Lost money"
"The Game of Their Lives",0,0.02,20000000,"$375,474","$20,000,000","Lost money"
"Rapa Nui",0,0.02,20000000,"$305,070","$20,000,000","Lost money"
"The Tempest",0,0.01,20000000,"$277,943","$20,000,000","Lost money"
"CJ7",1,2.37,20000000,"$47,300,771","$20,000,000","Made money"
"Couloirs du temps: Les visiteurs 2, Les",1,1.31,20000000,"$26,146,072","$20,000,000","Made money"
"People I Know",0,0.28,20000000,"$5,694,213","$20,000,000","Lost money"
"Der Baader Meinhof Komplex",0,0.84,19700000,"$16,498,827","$19,700,000","Lost money"
"The Painted Veil",0,0.78,19400000,"$15,118,795","$19,400,000","Lost money"
"The Devil's Double",0,0.13,19100000,"$2,406,666","$19,100,000","Lost money"
"Back to the Future",1,20.2,19000000,"$383,874,862","$19,000,000","Made money"
"Dances with Wolves",1,22.33,19000000,"$424,200,000","$19,000,000","Made money"
"Scary Movie",1,14.59,19000000,"$277,200,000","$19,000,000","Made money"
"Bad Teacher",1,11.39,19000000,"$216,412,265","$19,000,000","Made money"
"Just Married",1,2.95,19000000,"$56,127,162","$19,000,000","Made money"
