Key	Latitude	Longitude	FIPScode	TZ	Population
La`l, Afghanistan	34.501410	66.279960	09	Asia/Kabul	0
Kushk, Afghanistan	33.295650	61.952210	11	Asia/Kabul	16952
Kotowal, Afghanistan	34.103190	70.460730	18	Asia/Kabul	0
Kushk-e Kuhnah, Afghanistan	34.871100	62.547620	11	Asia/Kabul	0
`Alaqahdari Kiran wa Munjan, Afghanistan	36.028660	70.772580	01	Asia/Kabul	0
Kunduz, Afghanistan	36.728960	68.857000	24	Asia/Kabul	161902
Khoshi, Afghanistan	33.999160	69.215820	17	Asia/Kabul	0
Khoshamand, Afghanistan	32.685670	68.238010	29	Asia/Kabul	0
Khwajah Ghar, Afghanistan	37.065880	69.421260	26	Asia/Kabul	0
Khwajah Du Koh, Afghanistan	36.828810	65.624320	31	Asia/Kabul	0
Deh Khwahan, Afghanistan	37.889650	70.218750	01	Asia/Kabul	0
Khulbisat, Afghanistan	33.494800	70.006050	37	Asia/Kabul	0
Khugyani, Afghanistan	31.562670	66.581400	23	Asia/Kabul	0
Khost, Afghanistan	33.339510	69.920410	37	Asia/Kabul	96123
Khulm, Afghanistan	36.697360	67.698260	30	Asia/Kabul	64933
Khudaydad Khel, Afghanistan	35.178350	67.687580	05	Asia/Kabul	0
Khinjan, Afghanistan	35.589080	68.900930	03	Asia/Kabul	0
Khinj, Afghanistan	35.428980	69.734820	42	Asia/Kabul	0
Khash, Afghanistan	31.529190	62.790550	19	Asia/Kabul	15133
Khan Neshin, Afghanistan	30.548800	63.788800	10	Asia/Kabul	0
Khanaqah, Afghanistan	36.625870	69.536950	26	Asia/Kabul	0
Chahar Bagh, Afghanistan	37.001080	65.223920	07	Asia/Kabul	0
Khandud, Afghanistan	36.951270	72.318000	01	Asia/Kabul	5521
Khanaqah, Afghanistan	36.858900	66.167550	31	Asia/Kabul	0
Khanabad, Afghanistan	36.682500	69.115560	24	Asia/Kabul	71531
Khamyab, Afghanistan	37.527500	65.758330	31	Asia/Kabul	0
Khakiran, Afghanistan	32.838500	67.073770	28	Asia/Kabul	0
Kazhah, Afghanistan	34.240880	70.182740	18	Asia/Kabul	0
Kishk-e Nakhud, Afghanistan	31.625190	65.055110	23	Asia/Kabul	0
Karukh, Afghanistan	34.481080	62.586300	11	Asia/Kabul	17484
Kanday, Afghanistan	34.953600	70.778970	34	Asia/Kabul	0
Kandahar, Afghanistan	31.613320	65.710130	23	Asia/Kabul	391190
Kalan Deh, Afghanistan	33.836760	68.402330	27	Asia/Kabul	0
Kalakan, Afghanistan	34.783710	69.150010	13	Asia/Kabul	0
Kalafgan, Afghanistan	36.772740	69.945000	26	Asia/Kabul	0
Kajran, Afghanistan	33.203570	65.473110	41	Asia/Kabul	0
Kai, Afghanistan	34.128190	70.718280	18	Asia/Kabul	0
Kabul, Afghanistan	34.528130	69.172330	13	Asia/Kabul	3043532
Jurm, Afghanistan	36.864770	70.834210	01	Asia/Kabul	12106
Jawand, Afghanistan	35.063610	64.149170	02	Asia/Kabul	0
Jani Khel, Afghanistan	32.763150	68.397220	29	Asia/Kabul	0
Jalrez, Afghanistan	34.470800	68.654380	27	Asia/Kabul	0
Jalalabad, Afghanistan	34.426470	70.451530	18	Asia/Kabul	200331
Jabal os Saraj, Afghanistan	35.118330	69.237780	40	Asia/Kabul	15032
Hukumat-e Shinkai, Afghanistan	31.983030	67.335580	28	Asia/Kabul	0
Herat, Afghanistan	34.348170	62.199670	11	Asia/Kabul	272806
Haji Khel, Afghanistan	35.109220	69.433410	14	Asia/Kabul	0
Hafiz Moghul, Afghanistan	37.056430	70.400610	01	Asia/Kabul	0
Khafizan, Afghanistan	34.286650	70.372470	18	Asia/Kabul	0
Guzarah, Afghanistan	34.212230	62.212350	11	Asia/Kabul	0
Goshtah, Afghanistan	34.358220	70.762640	18	Asia/Kabul	0
Gomal Kelay, Afghanistan	32.509890	68.855980	29	Asia/Kabul	0
`Alaqahdari Gelan, Afghanistan	32.726920	67.636960	08	Asia/Kabul	0
Ghoriyan, Afghanistan	34.344800	61.493210	11	Asia/Kabul	0
Ghormach, Afghanistan	35.730620	63.782640	02	Asia/Kabul	30000
Ghurayd Gharame, Afghanistan	36.522200	70.790640	01	Asia/Kabul	0
Ghazni, Afghanistan	33.553910	68.420960	08	Asia/Kabul	141000
Gereshk, Afghanistan	31.820890	64.570050	10	Asia/Kabul	43588
Gardez, Afghanistan	33.597440	69.225920	36	Asia/Kabul	103601
Fayzabad, Afghanistan	37.116640	70.580020	01	Asia/Kabul	44421
Faizabad, Afghanistan	36.821030	66.459640	31	Asia/Kabul	0
Fayzabad, Afghanistan	36.291110	64.862220	07	Asia/Kabul	0
Qal`ah-ye Farsi, Afghanistan	33.785290	63.247350	11	Asia/Kabul	0
Farkhar, Afghanistan	36.572880	69.857830	26	Asia/Kabul	10480
Farah, Afghanistan	32.374510	62.116380	06	Asia/Kabul	43561
Istalif, Afghanistan	34.832680	69.077560	13	Asia/Kabul	0
Kafir Qala, Afghanistan	34.666670	61.066670	11	Asia/Kabul	18086
Injil, Afghanistan	34.301570	62.246500	11	Asia/Kabul	0
Imam Sahib, Afghanistan	37.188970	68.936440	24	Asia/Kabul	9659
Doshi, Afghanistan	35.609180	68.684730	03	Asia/Kabul	0
Dowlatyar, Afghanistan	34.551320	65.793020	09	Asia/Kabul	0
Dowlat Shah, Afghanistan	34.950400	70.071020	35	Asia/Kabul	0
Dowlatabad, Afghanistan	36.987820	66.820660	30	Asia/Kabul	0
Dowlatabad, Afghanistan	36.432590	64.920710	07	Asia/Kabul	0
Du Qal`ah, Afghanistan	32.142370	61.446900	06	Asia/Kabul	0
Duab, Afghanistan	35.562770	67.821910	32	Asia/Kabul	0
De Narkhel Kelay, Afghanistan	32.432050	65.634840	23	Asia/Kabul	0
Dehi, Afghanistan	35.958060	67.279980	32	Asia/Kabul	0
Deh-e Salah, Afghanistan	35.690310	69.315100	03	Asia/Kabul	0
Deh-e Now, Afghanistan	34.747670	69.047840	13	Asia/Kabul	0
Dehdadi, Afghanistan	36.663080	66.993760	30	Asia/Kabul	0
Dwah Manday, Afghanistan	33.281670	69.585000	37	Asia/Kabul	0
Dasht-e Qal`ah, Afghanistan	37.153900	69.443500	26	Asia/Kabul	0
Dasht-e Qal`ah, Afghanistan	33.029780	63.839500	06	Asia/Kabul	0
Dasht-e Archi, Afghanistan	37.133330	69.166670	24	Asia/Kabul	8263
Darzab, Afghanistan	35.977440	65.378280	31	Asia/Kabul	9642
Markaz-e Hukumat-e Darweshan, Afghanistan	31.132320	64.193400	10	Asia/Kabul	9012
Darqad, Afghanistan	37.384140	69.452940	26	Asia/Kabul	0
Darayim, Afghanistan	36.866670	70.383330	01	Asia/Kabul	0
Dangam, Afghanistan	34.992310	71.419430	34	Asia/Kabul	0
Dandar, Afghanistan	34.790950	69.475040	40	Asia/Kabul	0
Hukumati Dahanah-ye Ghori, Afghanistan	35.906170	68.488690	03	Asia/Kabul	3307
Tsowkey, Afghanistan	34.692460	70.926880	34	Asia/Kabul	0
Chiras, Afghanistan	35.416740	65.982340	33	Asia/Kabul	12779
Chisht-e Sharif, Afghanistan	34.347310	63.739660	11	Asia/Kabul	0
Chinar, Afghanistan	32.015830	65.107210	23	Asia/Kabul	0
Chimtal, Afghanistan	36.678180	66.803250	30	Asia/Kabul	0
Charkh, Afghanistan	33.797120	68.937490	17	Asia/Kabul	0
Charikar, Afghanistan	35.013610	69.171390	40	Asia/Kabul	53676
Dowr-e Rabat, Afghanistan	36.691320	68.790930	24	Asia/Kabul	0
Tsaperai, Afghanistan	33.830030	69.919200	36	Asia/Kabul	0
Tsamkani, Afghanistan	33.802980	69.816710	36	Asia/Kabul	0
Chakaray, Afghanistan	34.340990	69.437700	13	Asia/Kabul	0
Chakaran, Afghanistan	36.910470	71.068780	01	Asia/Kabul	0
Chahar Qal`ah, Afghanistan	33.552670	68.298280	08	Asia/Kabul	0
Chahar Burj, Afghanistan	34.244750	62.191650	11	Asia/Kabul	11935
Chah Ab, Afghanistan	37.397730	69.814640	26	Asia/Kabul	0
Chaghcharan, Afghanistan	34.519520	65.250940	09	Asia/Kabul	0
Bulolah, Afghanistan	34.877060	68.087900	05	Asia/Kabul	0
Bal Chiragh, Afghanistan	35.840260	65.230900	07	Asia/Kabul	0
Bazar-e Talah, Afghanistan	35.392050	68.223170	03	Asia/Kabul	0
Basawul, Afghanistan	34.247490	70.872180	18	Asia/Kabul	6835
Burkah, Afghanistan	36.222420	69.150380	03	Asia/Kabul	0
Barg-e Matal, Afghanistan	35.672830	71.343390	38	Asia/Kabul	0
Baraki Barak, Afghanistan	33.967440	68.949200	17	Asia/Kabul	22305
Banu, Afghanistan	35.633480	69.260200	03	Asia/Kabul	0
Bamyan, Afghanistan	34.821560	67.827340	05	Asia/Kabul	0
Balkh, Afghanistan	36.756350	66.897200	30	Asia/Kabul	114883
Baharak, Afghanistan	37.002540	70.906640	01	Asia/Kabul	0
Bagrami, Afghanistan	34.493760	69.274270	13	Asia/Kabul	0
Baghlan, Afghanistan	36.130680	68.708290	03	Asia/Kabul	108449
Hukumati Azrah, Afghanistan	34.173550	69.645730	17	Asia/Kabul	12526
Art Khwajah, Afghanistan	37.085710	69.479580	26	Asia/Kabul	18623
`Alaqahdari Atghar, Afghanistan	31.735060	67.357400	28	Asia/Kabul	0
Asmar, Afghanistan	35.033330	71.358090	34	Asia/Kabul	15708
Ashkasham, Afghanistan	36.683330	71.533330	01	Asia/Kabul	12120
Asadabad, Afghanistan	34.873110	71.146970	34	Asia/Kabul	48400
Aqchah, Afghanistan	36.921960	66.176470	31	Asia/Kabul	0
Andkhoy, Afghanistan	36.952930	65.123760	07	Asia/Kabul	29208
'Unabah, Afghanistan	35.232510	69.377190	42	Asia/Kabul	0
Anar Darah, Afghanistan	32.758700	61.653970	06	Asia/Kabul	10023
Amanzi, Afghanistan	30.211440	66.047650	23	Asia/Kabul	0
`Alaqahdari-ye Almar, Afghanistan	35.846160	64.530740	07	Asia/Kabul	0
`Ali Sher `Alaqahdari, Afghanistan	33.436200	70.067110	37	Asia/Kabul	0
Wuluswali `Alingar, Afghanistan	34.834700	70.359460	35	Asia/Kabul	0
`Ali Khel, Afghanistan	33.942530	69.719080	36	Asia/Kabul	0
`Alaqahdari Yosuf Khel, Afghanistan	33.051940	68.650000	29	Asia/Kabul	0
`Alaqahdari Dishu, Afghanistan	30.432060	63.298020	10	Asia/Kabul	9196
Alah Say, Afghanistan	34.896500	69.720490	14	Asia/Kabul	0
Pachir wa Agam, Afghanistan	34.200110	70.278060	18	Asia/Kabul	0
Afaki, Afghanistan	36.661720	69.350950	26	Asia/Kabul	0
Adraskan, Afghanistan	33.645730	62.269590	11	Asia/Kabul	0
Ab-e Kamari, Afghanistan	35.087960	63.067800	02	Asia/Kabul	0
Khadir, Afghanistan	33.922320	65.933980	41	Asia/Kabul	0
Ghulam `Ali, Afghanistan	34.950760	69.228700	40	Asia/Kabul	0
Qarah Bagh Bazar, Afghanistan	34.852900	69.170620	13	Asia/Kabul	0
Zargaran, Afghanistan	34.787640	69.058780	13	Asia/Kabul	0
Surkh Bilandi, Afghanistan	34.684740	69.028630	13	Asia/Kabul	0
Pul-e Sangi, Afghanistan	34.599720	69.259930	13	Asia/Kabul	0
Langar, Afghanistan	35.994740	68.050810	32	Asia/Kabul	0
Bagh-e Maidan, Afghanistan	35.221560	69.213970	40	Asia/Kabul	0
Ibrahim Khan, Afghanistan	35.053520	69.256540	40	Asia/Kabul	0
Qaranghu Toghai, Afghanistan	37.215280	67.639720	30	Asia/Kabul	0
Bazarak, Afghanistan	35.312920	69.515190	42	Asia/Kabul	0
Sherwani-ye Bala, Afghanistan	35.014680	69.599340	14	Asia/Kabul	0
Kiraman, Afghanistan	35.297300	69.681250	42	Asia/Kabul	0
`Alaqahdari Sarobi, Afghanistan	32.793310	69.086600	29	Asia/Kabul	0
Zerok-Alakadari, Afghanistan	33.158060	69.312780	29	Asia/Kabul	0
Kushkak, Afghanistan	32.289910	61.521940	06	Asia/Kabul	0
Khayr Kot, Afghanistan	32.853550	68.449720	29	Asia/Kabul	0
Chowney, Afghanistan	33.382780	66.272330	41	Asia/Kabul	0
Wutahpur, Afghanistan	34.919140	71.098630	34	Asia/Kabul	0
Karbori, Afghanistan	34.964720	71.274440	34	Asia/Kabul	0
Sultanpur-e `Ulya, Afghanistan	34.412040	70.296340	18	Asia/Kabul	0
Babasakhib, Afghanistan	31.661440	65.660980	23	Asia/Kabul	0
Chandal Ba'i, Afghanistan	34.584690	68.955240	13	Asia/Kabul	0
Dahan-e Jarf, Afghanistan	34.928910	68.462730	40	Asia/Kabul	0
Maydanshakhr, Afghanistan	34.395610	68.866180	27	Asia/Kabul	1600
Du Lainah, Afghanistan	34.155990	64.785660	09	Asia/Kabul	0
Qaram Qol, Afghanistan	36.830060	65.042990	07	Asia/Kabul	0
Pul-e Hisar, Afghanistan	35.617940	69.471340	03	Asia/Kabul	0
Lab-Sar, Afghanistan	36.026340	66.837990	30	Asia/Kabul	1068
Taqchah Khanah, Afghanistan	36.619220	69.628050	26	Asia/Kabul	0
March, Afghanistan	37.528450	70.448200	01	Asia/Kabul	0
Ziraki, Afghanistan	37.592120	70.558570	01	Asia/Kabul	0
Aliabad, Afghanistan	36.521150	68.899850	24	Asia/Kabul	0
Pas Pul, Afghanistan	37.474070	70.615860	01	Asia/Kabul	0
Qal`ah-ye Na`im, Afghanistan	34.399510	69.167050	13	Asia/Kabul	0
Markaz-e Woluswali-ye Achin, Afghanistan	34.125830	70.707780	18	Asia/Kabul	15098
Manogay, Afghanistan	34.990150	70.913020	34	Asia/Kabul	0
Ster Giyan, Afghanistan	32.977040	69.373080	29	Asia/Kabul	0
Cool urhajo, Afghanistan	34.265450	67.345160	05	Asia/Kabul	58525
Sharan, Afghanistan	33.175680	68.730450	29	Asia/Kabul	0
Salam Khel, Afghanistan	33.670670	69.329830	36	Asia/Kabul	0
Zarrit'ap', Armenia	39.637320	45.511620	10	Asia/Yerevan	1323
Zangakatun, Armenia	39.821200	45.040630	02	Asia/Yerevan	1130
Goravan, Armenia	39.906110	44.731710	02	Asia/Yerevan	2238
Yeghegnavan, Armenia	39.837990	44.625310	02	Asia/Yerevan	1221
Yeghegnadzor, Armenia	39.763890	45.332390	10	Asia/Yerevan	8200
Vostan, Armenia	39.965150	44.559370	02	Asia/Yerevan	2925
Vosketap', Armenia	39.881140	44.649170	02	Asia/Yerevan	4080
Vernashen, Armenia	39.792360	45.363890	10	Asia/Yerevan	1162
Verishen, Armenia	39.535570	46.312210	08	Asia/Yerevan	2114
Vedi, Armenia	39.914210	44.722170	02	Asia/Yerevan	12192
Vayk', Armenia	39.691000	45.466530	10	Asia/Yerevan	5419
Tegh, Armenia	39.557920	46.477230	08	Asia/Yerevan	2120
Surenavan, Armenia	39.797590	44.773970	10	Asia/Yerevan	2241
Sisavan, Armenia	39.908020	44.667200	02	Asia/Yerevan	1793
