Criteria ID,Name,Canonical Name,Parent ID,Country Code,Target Type
1013105,Prattville,"Prattville,Alabama,United States",21133,US,City
1013106,Quinton,"Quinton,Alabama,United States",21133,US,City
1013107,Ragland,"Ragland,Alabama,United States",21133,US,City
1013108,Rainbow City,"Rainbow City,Alabama,United States",21133,US,City
1013109,Rainsville,"Rainsville,Alabama,United States",21133,US,City
1013110,Ramer,"Ramer,Alabama,United States",21133,US,City
1013111,Red Bay,"Red Bay,Alabama,United States",21133,US,City
1013112,Reform,"Reform,Alabama,United States",21133,US,City
1013113,Roanoke,"Roanoke,Alabama,United States",21133,US,City
1013114,Robertsdale,"Robertsdale,Alabama,United States",21133,US,City
1013115,Russellville,"Russellville,Alabama,United States",21133,US,City
1013116,Rutledge,"Rutledge,Alabama,United States",21133,US,City
1013117,Saginaw,"Saginaw,Alabama,United States",21133,US,City
1013118,Saraland,"Saraland,Alabama,United States",21133,US,City
1013119,Scottsboro,"Scottsboro,Alabama,United States",21133,US,City
1013120,Selma,"Selma,Alabama,United States",21133,US,City
1013121,Semmes,"Semmes,Alabama,United States",21133,US,City
1013122,Shannon,"Shannon,Alabama,United States",21133,US,City
1013123,Sheffield,"Sheffield,Alabama,United States",21133,US,City
1013124,Shelby,"Shelby,Alabama,United States",21133,US,City
1013125,Spanish Fort,"Spanish Fort,Alabama,United States",21133,US,City
1013126,Springville,"Springville,Alabama,United States",21133,US,City
1013127,Sulligent,"Sulligent,Alabama,United States",21133,US,City
1013128,Sumiton,"Sumiton,Alabama,United States",21133,US,City
1013129,Summerdale,"Summerdale,Alabama,United States",21133,US,City
1013130,Sycamore,"Sycamore,Alabama,United States",21133,US,City
1013131,Sylacauga,"Sylacauga,Alabama,United States",21133,US,City
1013132,Talladega,"Talladega,Alabama,United States",21133,US,City
1013133,Tallassee,"Tallassee,Alabama,United States",21133,US,City
1013134,Theodore,"Theodore,Alabama,United States",21133,US,City
1013135,Thomasville,"Thomasville,Alabama,United States",21133,US,City
1013136,Toney,"Toney,Alabama,United States",21133,US,City
1013137,Troy,"Troy,Alabama,United States",21133,US,City
1013138,Trussville,"Trussville,Alabama,United States",21133,US,City
1013139,Tuscaloosa,"Tuscaloosa,Alabama,United States",21133,US,City
1013140,Tuscumbia,"Tuscumbia,Alabama,United States",21133,US,City
1013141,Tuskegee,"Tuskegee,Alabama,United States",21133,US,City
1013143,Union Springs,"Union Springs,Alabama,United States",21133,US,City
1013144,Valley,"Valley,Alabama,United States",21133,US,City
1013145,Vernon,"Vernon,Alabama,United States",21133,US,City
1013146,Vinemont,"Vinemont,Alabama,United States",21133,US,City
1013147,Wadley,"Wadley,Alabama,United States",21133,US,City
1013148,Walnut Grove,"Walnut Grove,Alabama,United States",21133,US,City
1013149,Warrior,"Warrior,Alabama,United States",21133,US,City
1013150,Webb,"Webb,Alabama,United States",21133,US,City
1013151,Wedowee,"Wedowee,Alabama,United States",21133,US,City
1013152,Wetumpka,"Wetumpka,Alabama,United States",21133,US,City
1013153,Winfield,"Winfield,Alabama,United States",21133,US,City
1013154,York,"York,Alabama,United States",21133,US,City
1013156,Adona,"Adona,Arkansas,United States",21135,US,City
1013157,Alexander,"Alexander,Arkansas,United States",21135,US,City
1013158,Alma,"Alma,Arkansas,United States",21135,US,City
1013159,Altheimer,"Altheimer,Arkansas,United States",21135,US,City
1013160,Amity,"Amity,Arkansas,United States",21135,US,City
1013161,Arkadelphia,"Arkadelphia,Arkansas,United States",21135,US,City
1013162,Armorel,"Armorel,Arkansas,United States",21135,US,City
1013163,Ash Flat,"Ash Flat,Arkansas,United States",21135,US,City
1013164,Ashdown,"Ashdown,Arkansas,United States",21135,US,City
1013165,Augusta,"Augusta,Arkansas,United States",21135,US,City
1013166,Bald Knob,"Bald Knob,Arkansas,United States",21135,US,City
